id,laborZET,semester,course,hoursLec,hoursPrac,hoursLab,hoursLecRemote,hoursPracRemote,hoursLabRemote,hoursSelfWork,hoursExam,isExam,isOffset,isDiffOffset,isCourseWork,isCourseProject,planStringId,controlWorks,hoursIKR
2673745,5,3,2,34,34,0,0,0,0,111,0,false,false,true,false,false,2067670,0,0
2673746,4,4,2,34,34,0,0,0,0,75,0,false,false,true,false,false,2067671,0,0
2673747,3,4,2,34,34,0,0,0,0,39,0,false,false,true,false,false,2067672,0,0
2673748,4,5,3,34,34,0,0,0,0,40,35,true,false,false,false,false,2067659,0,0
2673749,3,5,3,17,17,0,0,0,0,73,0,false,false,true,false,false,2067624,0,0
2673750,4,5,3,34,17,0,0,0,0,92,0,false,false,true,false,false,2067673,0,0
2673751,3,6,3,34,17,0,0,0,0,21,35,true,false,false,false,false,2067666,0,0
2673752,4,6,3,34,0,34,0,0,0,40,35,true,false,false,false,false,2067636,0,0
2673753,4,6,3,17,0,0,0,0,0,126,0,false,false,true,false,false,2067653,0,0
2673754,3,6,3,34,34,0,0,0,0,4,35,true,false,false,false,false,2067668,0,0
2673755,3,7,4,17,0,0,0,0,0,90,0,false,false,true,false,false,2067655,0,0
2673756,4,7,4,34,17,0,0,0,0,57,35,true,false,false,false,false,2067674,0,0
2673757,4,7,4,17,17,0,0,0,0,74,35,true,false,false,false,false,2067675,0,0
2673758,3,7,4,34,34,0,0,0,0,4,35,true,false,false,false,false,2067676,0,0
2673759,3,8,4,8,8,0,0,0,0,91,0,false,false,true,false,false,2067656,0,0
2673760,3,8,4,16,16,0,0,0,0,75,0,false,false,true,false,false,2067669,0,0
2673761,3,8,4,16,16,0,0,0,0,75,0,false,false,true,false,false,2067677,0,0
2673762,3,8,4,16,16,0,0,0,0,75,0,false,false,true,false,false,2067678,0,0
2673763,0,1,1,0,51,0,0,0,0,21,0,false,false,false,false,false,2067638,0,0
2673764,0,2,1,0,68,0,0,0,0,21.75,0,false,true,false,false,false,2067638,0,0
2673765,0,3,2,0,68,0,0,0,0,21.75,0,false,true,false,false,false,2067638,0,0
2673766,0,4,2,0,51,0,0,0,0,25,0,false,false,false,false,false,2067638,0,0
2673767,2,6,3,17,17,0,0,0,0,37,0,false,false,true,false,false,2067640,0,0
2673768,2,6,3,17,17,0,0,0,0,37,0,false,false,true,false,false,2067641,0,0
2673769,2,6,3,17,17,0,0,0,0,37,0,false,false,true,false,false,2067642,0,0
2673770,2,6,3,17,17,0,0,0,0,37,0,false,false,true,false,false,2067643,0,0
2673771,3,1,1,17,34,0,0,0,0,56,0,false,false,true,false,false,2067613,0,0
2673772,5,1,1,51,34,0,0,0,0,59,35,true,false,false,false,false,2067614,0,0
2673773,4,2,1,34,34,0,0,0,0,40,35,true,false,false,false,false,2067614,0,0
2673774,4,1,1,34,34,0,0,0,0,40,35,true,false,false,false,false,2067615,0,0
2673775,5,2,1,51,34,0,0,0,0,59,35,true,false,false,false,false,2067615,0,0
2673776,5,1,1,34,17,17,0,0,0,111,0,false,false,true,false,false,2067616,0,0
2673777,5,2,1,34,17,17,0,0,0,76,35,true,false,false,false,false,2067616,0,0
2673778,6,1,1,34,0,34,0,0,0,110,35,true,false,false,true,false,2067617,0,0
2673779,5,2,1,34,0,34,0,0,0,74,35,true,false,false,true,false,2067617,0,0
2673780,4,1,1,34,0,34,0,0,0,75,0,false,false,true,false,false,2067651,0,0
2673781,3,2,1,34,0,34,0,0,0,39,0,false,false,true,false,false,2067628,0,0
2673782,4,2,1,68,34,0,0,0,0,28,0,false,false,true,false,false,2078013,0,0
2673783,2,2,1,17,17,0,0,0,0,37,0,false,false,true,false,false,2067619,0,0
2673784,2,3,2,34,17,0,0,0,0,20,0,false,false,true,false,false,2067620,0,0
2673785,3,3,2,34,17,0,0,0,0,56,0,false,false,true,false,false,2067621,0,0
2673786,4,3,2,34,34,0,0,0,0,40,35,true,false,false,false,false,2067630,0,0
2673787,4,3,2,34,0,34,0,0,0,40,35,true,false,false,false,false,2067634,0,0
2673788,5,3,2,34,0,34,0,0,0,111,0,false,false,true,false,false,2067622,0,0
2673789,5,3,2,34,0,34,0,0,0,74,35,true,false,false,true,false,2067631,0,0
2673790,5,4,2,34,0,34,0,0,0,109,0,false,false,true,true,false,2067633,0,0
2673791,4,4,2,34,34,0,0,0,0,40,35,true,false,false,false,false,2067632,0,0
2673792,4,4,2,34,34,0,0,0,0,40,35,true,false,false,false,false,2067652,0,0
2673793,4,4,2,34,0,34,0,0,0,40,35,true,false,false,false,false,2067623,0,0
2673794,4,5,3,17,17,0,0,0,0,74,35,true,false,false,false,false,2067654,0,0
2673795,4,5,3,34,17,0,0,0,0,92,0,false,false,true,false,false,2067667,0,0
2673796,4,5,3,34,0,34,0,0,0,75,0,false,false,true,false,false,2067635,0,0
2673797,4,5,3,34,34,0,0,0,0,40,35,true,false,false,false,false,2067629,0,0
2673798,3,5,3,34,17,0,0,0,0,21,35,true,false,false,false,false,2067657,0,0
2673799,2,6,3,17,17,0,0,0,0,37,0,false,false,true,false,false,2067625,0,0
2673800,3,6,3,34,17,0,0,0,0,56,0,false,false,true,false,false,2067658,0,0
2673801,3,7,4,34,17,17,0,0,0,39,0,false,false,true,false,false,2067626,0,0
2673802,4,7,4,17,17,17,0,0,0,57,35,true,false,false,false,false,2067637,0,0
2673803,1,1,1,0,17,0,0,0,0,18.75,0,false,true,false,false,false,2067627,0,0
2673804,1,4,2,0,17,0,0,0,0,18.75,0,false,true,false,false,false,2067627,0,0
2673805,2,1,1,0,34,0,0,0,0,37,0,false,false,true,false,false,2067663,0,0
2673806,2,2,1,0,34,0,0,0,0,37,0,false,false,true,false,false,2067663,0,0
2673807,2,3,2,0,34,0,0,0,0,37,0,false,false,true,false,false,2067663,0,0
2673808,2,4,2,0,34,0,0,0,0,37,0,false,false,true,false,false,2067663,0,0
2673809,2,1,1,0,34,0,0,0,0,37,0,false,false,true,false,false,2067664,0,0
2673810,2,2,1,0,34,0,0,0,0,37,0,false,false,true,false,false,2067664,0,0
2673811,2,3,2,0,34,0,0,0,0,37,0,false,false,true,false,false,2067664,0,0
2673812,2,4,2,0,34,0,0,0,0,37,0,false,false,true,false,false,2067664,0,0
2673813,9,6,3,0,2,0,0,0,0,322,0,false,false,true,false,false,2067661,0,0
2673814,9,7,4,0,2,0,0,0,0,322,0,false,false,true,false,false,2067660,0,0
2673815,3,4,2,0,1,0,0,0,0,107,0,false,false,true,false,false,2067646,0,0
2673816,9,8,4,0,2,0,0,0,0,322,0,false,false,true,false,false,2067647,0,0
2673817,3,5,3,24,36,0,0,0,0,29,18,false,false,true,false,false,2067644,0,0
2673818,5,6,3,76,32,0,0,0,0,52.75,18,false,true,true,false,false,2067644,0,0
2673819,5,7,4,50,46,0,0,0,0,48,35,true,false,false,false,false,2067644,0,0
2673820,3,8,4,34,26,0,0,0,0,29,18,false,false,true,false,false,2067644,0,0
2673821,5,5,3,58,46,0,0,0,0,57,18,false,false,true,false,false,2067645,0,0
2673822,3,6,3,30,42,0,0,0,0,35.75,0,false,true,false,false,false,2067645,0,0
2673823,5,7,4,46,48,0,0,0,0,50,35,true,false,false,false,false,2067645,0,0
2673824,7,8,4,0,144,0,0,0,0,71.75,35,true,true,false,false,false,2067645,0,0
2673825,4,6,3,17,34,0,0,0,0,92,0,false,true,false,false,false,2067649,0,0
2673826,4,8,4,16,0,16,0,0,0,111,0,false,true,false,false,false,2067650,0,0
2673827,3,1,1,0,68,0,0,0,0,39,0,false,true,false,false,false,2067665,0,0
